"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
1,55215.90927939,251286.5688616,642258.51010782,289546.474783037,188798.030442686,0.652047415131392,2009,NA,35644696299.0373
2,0,239627.5687143,816262.65408813,296342.440558713,251509.809240094,0.848713430198882,2009,NA,63257184143.9885
3,60231.51320099,193655.2730407,469095.9183861,218491.599921358,132139.298205362,0.604779763857844,2009,NA,17460794130.2055
4,0,54003.5727788,171457.13528136,58760.2721937603,57616.1912057518,0.980529685358912,2009,NA,3319625489.05775
1,2021336.57787501,4889576.28886,9393003.79619806,5179415.59862577,2349545.29988197,0.453631351866291,2010,NA,5520363116197.44
2,384730.771971135,1227401.80361085,2699953.27791561,1350049.85002084,711017.08773597,0.526659876837136,2010,NA,505545299052.54
1,298423.15761992,925407.39002075,2257966.02320757,1073650.40933024,631012.267879696,0.587726006897657,2011,NA,398176482214.677
2,1942472.22766416,3714636.064915,6101188.69338925,3802938.61196431,1295220.29362265,0.340584065582283,2011,NA,1677595609011.94
3,15570.708377175,36111.2070706,66686.656272095,37913.657080965,15988.2187989783,0.421700780930611,2011,NA,255623140.364005
1,212209.149356765,727371.03133315,1436838.8707055,765758.693252505,367109.173829637,0.479405819436887,2012,NA,134769145509.879
2,0,11130.66576725,119164.19546286,26831.3046985338,38392.297844749,1.43087703993936,2012,NA,1473968533.79992
1,0,116994.8109783,195565.5789741,103084.335708047,66146.4046256398,0.641672705860745,2013,NA,4375346844.89886
2,1105642.23665901,2047036.28866125,3722112.20497299,2156409.06818103,802919.537364864,0.372341013220716,2013,NA,644679783482.207
3,0,233989.6219566,391131.1579482,206168.671416094,132292.80925128,0.641672705860745,2013,NA,17501387379.5955
4,0,77996.5406522,130377.0526494,68722.8904720312,44097.6030837599,0.641672705860745,2013,NA,1944598597.73283
1,1637198.94037453,3622444.43434835,7670297.85055402,3958347.00383185,1863891.24135562,0.470876161072107,2014,NA,3474090559602.18
2,1602388.95349924,3019891.85085885,4973560.82991615,3135613.60273411,1077851.79024361,0.343745093242285,2014,NA,1161764481731.36
3,813258.977849905,1751220.2187532,2668121.76120152,1727960.0613339,555254.656817901,0.321335353312085,2014,NA,308307733917.965
4,20131.183228975,131345.5593225,236538.745371705,124829.081374666,70976.3033877499,0.568587885179731,2014,NA,5037635642.58991
5,0,38418.05894495,88590.501978885,39904.4112996958,26834.527613636,0.672470204161127,2014,NA,720091872.246993
1,0,330158.697168,951189.283176724,355577.841838498,314643.267913692,0.884878726657557,2015,NA,99000386043.4077
2,6373721.74219556,11294774.4883687,18476976.9131617,11759865.8203888,3661445.62938643,0.311350969926744,2015,NA,13406184096953
3,0,1102635.69944225,2215349.54818834,1162843.73444378,604681.575577354,0.520002436842118,2015,NA,365639807842.711
4,0,182645.45856,498550.816986149,184677.364820701,169937.501717254,0.920185870543704,2015,NA,28878754489.9015
1,487398.759173685,1627943.7938211,4002857.89571254,1833265.85525732,1076423.09158813,0.587161479335491,2016,NA,1158686672104.15
2,2816741.11362108,5425740.58692115,9685282.73049851,5742619.65683161,2169783.9112544,0.377838693996242,2016,NA,4707962221538.45
3,0,1520594.0026261,3211081.10278127,1586715.13028344,934662.2709481,0.589054867574836,2016,NA,873593560733.86
4,0,95007.80779635,293997.152984685,105525.733171106,101742.288518459,0.964146710579949,2016,NA,10351493272.9734
5,0,37611.93982655,93090.8756975449,38028.3067556618,33927.7642139481,0.892171308913111,2016,NA,1151093184.55726
1,7263588.115685,14065025.9774747,24765099.3913108,14882401.4119176,5305317.86398237,0.356482648004237,2017,NA,28146397637890.5
2,366492.386780405,3046166.08229395,6509897.05481082,2932704.03434377,1972117.85114842,0.67245716855629,2017,NA,3889248818818.25
1,1573235.91234279,6140849.33353835,16732037.0705045,7185086.1581469,4607620.99560623,0.641275677728906,2018,NA,21230171239151.4
2,9332249.45047083,16472905.1293825,27531200.127804,17310985.036336,5756958.32528213,0.332560990215068,2018,NA,33142569159035.2
3,59903.44714335,804425.4359687,2078863.43379937,896842.360227699,641987.608943212,0.715831050598701,2018,NA,412148090036.623
4,0,8089.38760475,35832.280750335,10369.9685393816,12156.0536542298,1.17223630988516,2018,NA,147769640.444515
NA,0,458886.128313,1809869.74454402,553284.355360229,606874.268213918,1.09685781340916,2018,NA,368296377420.178
1,8349.62504268,110933.2979666,309462.683899995,122773.374945532,101851.818232625,0.829592069761144,2019,NA,10373792877.2917
2,484543.490367135,2231072.5634178,5948029.61306674,2576654.44237184,1689519.95068197,0.655702962298178,2019,NA,2854477663752.41
3,11216513.9069945,17374788.6804125,24124557.9932984,17433878.6463056,4042955.2199839,0.231902223366723,2019,NA,16345486910795
4,0,41438.018038,112222.93568661,43483.0998953214,42363.695816456,0.974256571367723,2019,NA,1794682723.22922
NA,0,0,4843.64296796999,708.5645293088,2708.47821709584,3.82248631573181,2019,NA,7335854.25248266
