"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v","i"
2,1304.397106285,77951.85381675,300079.06388839,99436.9463323672,110250.406279372,1.10874690289524,2018,163,12155152084.7667,NA
3,74809.91537086,142936.31183615,239705.218607725,147348.427891746,49346.982512509,0.334899959358665,2018,163,2435124683.08986,0.145
4,1031954.54860661,1682188.4589592,2500050.27865464,1719017.20096037,441689.23752118,0.256942884151724,2018,163,195089382542.042,1.779
5,2057780.30640158,2730504.21605645,3778564.35027798,2785499.74580341,522302.728322874,0.187507727871728,2018,163,272800140013.518,2.78
6,345614.248409545,456215.60628405,584719.25998707,459846.783977871,72741.8124487251,0.158187063568168,2018,163,5291371278.3255,0.485
7,678531.785026245,847531.9273549,1018441.38716718,848334.597521272,107507.615698534,0.126727845372166,2018,163,11557887433.1837,0.824
8,458681.48117171,633830.61954755,838176.63497376,638128.75116384,125149.651248331,0.19611975016026,2018,163,15662435207.5789,0.622
9,910357.14745372,1088440.65423895,1308819.75921713,1098044.13618562,122688.647536903,0.111733803308762,2018,163,15052504234.4344,1.083
10,346803.736785285,441186.23018925,555090.68858475,443362.575995309,63890.4435532769,0.144104277204382,2018,163,4081988777.43446,0.463
11,279440.153099875,371581.6653982,461454.313824295,371507.716742032,57777.1953387626,0.155520848518153,2018,163,3338204301.21354,0.378
12,951452.997988265,1159081.386575,1369854.33052117,1159939.2227138,123538.852349217,0.106504590870015,2018,163,15261848039.7616,NA
13,256838.29043425,368936.281474,494466.71690158,370955.071741258,72317.1738740484,0.194948605324609,2018,163,5229773637.12935,NA
14,1253120.74152247,1535615.6156311,1840693.35347484,1540314.55474885,175083.894762185,0.113667623423018,2018,163,30654370205.0959,NA
15,26701.797148875,50786.62965475,79646.85707787,51699.8417598268,16625.800293453,0.321583194987108,2018,163,276417235.397782,NA
16,206099.451211685,274526.01522605,350538.050947085,276527.344537011,43086.0595520289,0.155811207836129,2018,163,1856408527.72098,NA
17,0,3525.3807859,9447.951024445,3519.5134085332,3282.96568154354,0.932789650291958,2018,163,10777863.6661926,NA
18,239.3073826,9480.71493655,22864.444637555,10358.3837307784,6885.8151205863,0.664757678374679,2018,163,47414449.8748949,NA
19,0,0,0,0,0,NA,2018,163,0,NA
20,0,11640.32625425,31163.234282,13246.6175165902,10042.995256315,0.758155449399594,2018,163,100861753.718365,NA
2,0,8164.77357645,30354.294843,10514.3790606574,11192.081896051,1.06445486048048,2017,94,125262697.167913,NA
3,39236.71222318,88942.69798725,154735.42171639,91520.4652772478,36567.0527028377,0.399550555081459,2017,94,1337149343.37211,0.095
4,696561.22051389,1075913.1671853,1618754.32574854,1106916.35480684,273758.486832149,0.247316326697441,2017,94,74943709112.6278,1.078
5,468982.68478342,641568.2666369,892303.338812945,653163.979521199,128506.439543749,0.196744529050654,2017,94,16513905004.2113,0.666
6,644285.0987251,882540.52515825,1192475.46442094,895013.226630303,167126.180810082,0.186730403347565,2017,94,27931160312.1644,0.868
7,310594.27250905,415040.5295427,546250.91540022,420660.039867172,71172.568245212,0.16919260566724,2017,94,5065534470.61936,0.411
8,969854.957855025,1332343.83349615,1789895.25743138,1353708.4197083,249617.633388519,0.184395420575361,2017,94,62308962898.4851,1.376
9,126417.64364486,176418.5984087,240856.197310155,178881.049494364,34869.8975716206,0.194933435767433,2017,94,1215909756.65531,0.176
10,132720.92331279,202045.4629164,293228.669563335,205377.215960236,48257.6539128981,0.234970825207026,2017,94,2328801161.17705,0.231
11,1581278.31913019,2016511.057146,2544384.2972184,2032523.9649913,298756.893223676,0.146988128243277,2017,94,89255681248.6629,1.903
12,219869.25480429,298837.3859294,409378.07528232,304481.319609453,57312.5141582057,0.188229984787633,2017,94,3284724279.13453,NA
13,1963195.8802599,2514219.26445145,3234228.25567403,2552465.30567684,388111.216144503,0.15205347366772,2017,94,150630316097.165,NA
