"art","aar","type","alder","cn","cn_sd","cn_5","cn_95","cw","cw_sd","cw_5","cw_95","lw","lw_sd","lw_5","lw_95","v","mean","n","logn"
"NVG_sild",2011,"A",1,3.94,2.7,0.57,8.98,118.16,8.88,101.17,129.71,23.24,0.51,22.26,23.91,7.29,3.94,91,-4.51085950651685
"NVG_sild",2011,"A",2,292.44,56.76,208.34,390.1,178,3.26,172.84,183.53,26.66,0.11,26.48,26.85,3221.6976,292.44,91,-4.51085950651685
"NVG_sild",2011,"A",3,101.34,22.42,67.53,139.28,213.81,4.44,206.34,221.12,28.44,0.13,28.23,28.63,502.6564,101.34,91,-4.51085950651685
"NVG_sild",2011,"A",4,101.03,22.77,67.16,139.16,234.48,4.69,226.77,241.72,29.61,0.12,29.42,29.81,518.4729,101.03,91,-4.51085950651685
"NVG_sild",2011,"A",5,200.04,36.57,148.87,265.48,255.01,4.34,247.81,261.9,30.67,0.11,30.47,30.85,1337.3649,200.04,91,-4.51085950651685
"NVG_sild",2011,"A",6,109.57,23.6,76.45,150.69,285.48,5.68,276.47,295.36,31.76,0.12,31.57,31.96,556.96,109.57,91,-4.51085950651685
"NVG_sild",2011,"A",7,428.8,59.76,336.63,523.04,302.17,4.72,294.6,309.93,32.5,0.11,32.33,32.69,3571.2576,428.8,91,-4.51085950651685
"NVG_sild",2011,"A",8,287.38,46.17,218.15,369.69,321.3,5.34,312.84,330.32,33.2,0.12,33.01,33.4,2131.6689,287.38,91,-4.51085950651685
"NVG_sild",2011,"A",9,328.01,47.39,254.15,407.14,331.12,5.49,322.41,340.45,33.69,0.12,33.49,33.9,2245.8121,328.01,91,-4.51085950651685
"NVG_sild",2011,"A",10,37.76,10.25,23.63,55.68,347.19,7.64,335.15,361.34,34.21,0.14,34,34.44,105.0625,37.76,91,-4.51085950651685
"NVG_sild",2011,"A",11,42.97,11.66,25.71,63.53,349.57,6.45,339.35,360.32,34.53,0.13,34.32,34.75,135.9556,42.97,91,-4.51085950651685
"NVG_sild",2011,"A",12,52.3,14.18,32.35,78.43,372.08,7.64,359.47,384.93,35,0.14,34.79,35.23,201.0724,52.3,91,-4.51085950651685
"NVG_sild",2011,"A",13,22.15,7.05,12.05,34.02,377.78,9.22,363.55,393.29,35.28,0.15,35.04,35.52,49.7025,22.15,91,-4.51085950651685
"NVG_sild",2011,"A",14,3.28,2.39,0.8,8.23,381.11,11.46,364.1,401.25,35.51,0.18,35.23,35.79,5.7121,3.28,91,-4.51085950651685
"NVG_sild",2011,"A",15,8.64,2.91,4.36,13.15,411.91,10.36,395.78,429.87,36.16,0.17,35.87,36.42,8.4681,8.64,91,-4.51085950651685
"NVG_sild",2012,"A",1,6.48,2.59,3,11.21,88.62,7.6,76.32,101.17,20.94,0.63,19.86,21.93,6.7081,6.48,78,-4.35670882668959
"NVG_sild",2012,"A",2,10.31,3.12,5.86,15.81,151.13,8.05,137.82,164.06,25.33,0.4,24.68,25.95,9.7344,10.31,78,-4.35670882668959
