"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
2,372760.6090272,1147788.0197181,2092838.64300759,1188607.24534214,535615.788234973,0.450624704109721,2008,NA,286884272606.572
3,316993.74521002,635394.9295168,992892.777156685,644497.989793187,205664.754751966,0.319108450311788,2008,NA,42297991347.1865
4,7404589.06216218,10737569.5035533,15373155.4853234,10967937.7033872,2377942.1851789,0.216808505800004,2008,NA,5654609036053.41
5,6028319.88801233,8133060.16914595,10780691.8408973,8214112.29769139,1433992.97692759,0.174576743652582,2008,NA,2056335857877.66
6,10586867.2959996,14510247.7804676,18953005.1834881,14635326.5234008,2562315.6146134,0.175077447743748,2008,NA,6565461308891.64
7,943816.905056835,1514289.4205477,2147173.91598729,1527963.94735157,376313.9694825,0.246284586841704,2008,NA,141612203627.676
8,1447143.42467952,2186960.7230183,3151289.54678117,2225949.01128541,548752.944016724,0.24652538815336,2008,NA,301129793567.022
9,3239575.11195816,4826544.4091035,6626246.04510272,4872830.73315035,1058677.7548181,0.217261344133259,2008,NA,1120798588546.69
10,1736100.73618191,2755361.0005245,3989875.14020324,2790416.32904568,671013.775976258,0.240470846228793,2008,NA,450259487549.915
11,287914.370596435,502077.63384285,760521.75174945,512223.686531447,146097.984196721,0.285223014941055,2008,NA,21344620986.3454
12,51151.410795505,141649.35410045,248808.323781045,145994.898115884,61191.1701839564,0.419132250329636,2008,NA,3744359308.48192
13,63325.44647499,168604.90248685,287979.62042737,171699.73005781,71968.5448168398,0.419153511730091,2008,NA,5179471443.05348
14,70706.04355361,243289.8476496,440624.195204935,241161.287844394,112875.242697653,0.468048763989369,2008,NA,12740820414.0541
15,92591.833924515,271325.8874179,501682.857816445,282573.615054828,128869.310307739,0.45605570882028,2008,NA,16607299139.1922
16,40335.03835392,164154.34088655,306196.86390889,164386.426070984,87508.4996078809,0.532334096551828,2008,NA,7657737503.62249
17,0,63638.0353538,138895.450045325,67973.2855367276,41009.6898136263,0.603320694149289,2008,NA,1681794658.60985
NA,6261.66964971,32061.8585113,169691.532294,50624.2847635472,58070.9269883566,1.14709624559815,2008,NA,3372232561.28704
2,19952.15885695,133742.82023775,305467.80300005,140626.458228082,91376.3536220723,0.649780665554906,2009,NA,8349638001.26601
3,733540.882576685,1738295.18170735,3286238.41433964,1835784.29810525,787693.008643781,0.429077103152465,2009,NA,620460275866.292
4,824829.583906775,2057919.32356615,4758341.85958086,2271024.16877569,1126807.02051516,0.496166899501834,2009,NA,1269694061482.26
5,8513289.90613928,12045287.4412462,17227289.8212037,12342299.6781198,2553581.90519762,0.206896767360507,2009,NA,6520780546552.7
6,6408978.04306533,8579366.3884611,10826672.3657758,8607200.84936227,1359564.71832549,0.157956662348157,2009,NA,1848416223315.46
7,7003692.06393407,9615033.40988845,11874219.0165034,9589415.25072295,1420105.55073294,0.148090943358186,2009,NA,2016699775222.49
8,863560.239460925,2084790.1273845,3126297.93193107,2021024.7825273,727605.510417198,0.360018104036966,2009,NA,529409778789.472
9,884683.761428375,1394616.4964244,2010742.34213445,1414896.17529337,363195.333451282,0.256693982069728,2009,NA,131910850240.788
10,1691231.84978714,2498057.9151309,3384868.77716227,2531347.37709113,537250.373396901,0.212238896272812,2009,NA,288637963715.109
11,798027.277304765,1279565.9869686,1825891.87971126,1302275.59254945,311071.889263991,0.238867940890308,2009,NA,96765720290.269
12,116119.550644015,222110.8418842,331670.43652717,224181.917708522,67313.949438156,0.300264847969034,2009,NA,4531167788.96262
13,95960.51858296,193437.9080608,314705.253229385,195468.836313781,67730.6755336812,0.346503702641145,2009,NA,4587444408.2488
14,5089.7388697,109431.01494155,218614.23612134,98442.4282687968,71336.8000168851,0.724655021939322,2009,NA,5088939036.64906
15,28138.36792491,67633.37438445,118323.446499005,68747.8403150028,24936.4974356573,0.362724084442482,2009,NA,621828904.358544
16,68055.512836835,126207.9163876,237191.67507314,138113.966808613,63699.4391488807,0.461209250742541,2009,NA,4057618547.88196
17,4789.41845721,24766.7737405,46540.60042725,25135.337603151,11940.7311833925,0.475057521483047,2009,NA,142581061.194043
18,0,10600.9424181,40245.45058863,12896.8054314784,13499.8021155036,1.04675550757348,2009,NA,182244657.157756
NA,30169.638394,94631.28156575,245569.774991995,107412.800157081,64246.5911243732,0.598127886345193,2009,NA,4127624471.10239
1,0,202675.97835925,611744.1311532,221453.447813616,224385.816409764,1.01324146733817,2010,NA,50348994605.8763
2,19472.02070165,109157.08124175,249855.826929305,117368.825457888,71777.0884518806,0.611551561258778,2010,NA,5151950426.62908
3,171942.43913014,532774.10186385,1099181.85614845,568879.915713375,284087.760590259,0.49938089347734,2010,NA,80705855717.1884
4,1359666.94151562,2211652.21307195,3456605.37756588,2278712.15785953,660603.112631951,0.289901956398248,2010,NA,436396472419.023
5,1115420.09748899,1833844.6797189,2650238.3830042,1849330.5300344,466297.529201744,0.252143963249809,2010,NA,217433385739.651
6,6317403.15591627,8382752.18029525,10601462.8755964,8359594.81747827,1279351.54960376,0.153039899365564,2010,NA,1636740387473.55
7,4572742.4042597,5887916.8459448,7358558.47442659,5910295.25525529,848502.402737506,0.143563454293259,2010,NA,719956327451.321
8,4370792.04045664,5620108.45546895,7221030.57391053,5686814.01558847,860350.395567942,0.151288646544372,2010,NA,740202803153.915
9,512469.00509159,920841.55156275,1446047.08233992,944972.189384421,292245.068188643,0.309263141785177,2010,NA,85407179880.5848
10,585468.17519613,881220.99848995,1233324.90781884,891070.773233693,200423.490526185,0.224924323125142,2010,NA,40169575554.6998
11,543985.61482395,1011691.0633695,1588585.67107515,1025658.50327877,316039.432209493,0.308133195599894,2010,NA,99880922711.2987
12,246952.95271695,550152.5970006,892824.096941365,553767.451556841,195372.1838047,0.352805466004617,2010,NA,38170290204.6177
13,28175.567428445,81209.51923225,164295.32929919,86611.1437075962,41447.5409517385,0.478547438325807,2010,NA,1717898650.94604
14,8278.88549526,40249.29339285,86569.272845555,43127.7756331432,24697.7741664935,0.572665151492615,2010,NA,609980048.779112
15,0,8139.21332775,28630.774674725,9822.1878176386,10207.5455599474,1.0392333917314,2010,NA,104193986.358402
16,7173.483401055,55907.3807568,122717.69675292,58282.037406075,35266.8454067866,0.605106598471634,2010,NA,1243750384.94618
NA,21081.325627115,164757.0585286,382786.945327645,175447.190134433,115565.90053598,0.65869336777312,2010,NA,13355477366.6921
2,254466.684006855,1010993.58454695,2477501.14418031,1133187.30543307,710128.767100598,0.62666495088313,2011,NA,504282865863.815
3,425097.21067133,918139.9814377,1742188.75406884,968837.454821805,402746.028821495,0.415700308464613,2011,NA,162204363731.485
4,1066730.46495222,1625017.7024218,2336070.52775618,1654145.57975275,389050.858897524,0.23519747213282,2011,NA,151360570808.901
5,2440259.19280659,3500301.33928945,4671035.9813003,3522588.44240674,679027.338768107,0.192763744578738,2011,NA,461078126794.497
6,1842759.87642723,2577170.7922396,3414780.54133892,2604775.4236797,498375.634015537,0.191331517291227,2011,NA,248378272580.389
7,6990265.96620126,9250682.20360785,11518251.8214482,9259596.96850215,1396914.72314711,0.150861287796749,2011,NA,1951370743745.16
8,3428928.31926301,4387081.15326815,5436035.99451764,4405321.86769366,613968.542786295,0.139369735339617,2011,NA,376957371531.127
9,3245429.88435312,4201870.17357245,5354229.90116808,4230999.3316008,630943.954711332,0.14912409699498,2011,NA,398090273986.776
10,485960.87580594,771622.0979629,1117460.34178392,782308.757049143,191355.864002996,0.244604016353834,2011,NA,36617066688.3333
11,628931.858697385,945044.57961565,1313268.40303873,956419.434605214,208082.680757371,0.217564253954399,2011,NA,43298402031.1742
12,486137.95203208,716303.80750555,1016560.85625148,737120.740167231,166752.248672063,0.226221078292048,2011,NA,27806312437.1896
